resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 3,weekDay href,weekDay 4,weekDay href 2,weekDay 5,weekDay 6,colInst,colInst 2,colAvail,numCurr,numTot,numWait,onlineMeeting,legendControl 2,legendControl 3,enConDesc,enConList,enConList 2,enConList 3,enConList 4,enConList 5,headerSect 7,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,colCode 2,weekDay 7,dayInfo 7,dayInfo 8,dayInfo 9,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,headerSect 13,weekDay href 8,weekDay 14,dayInfo 31,alignC 9,extraTxt 9,headerSect 79,legendControl 4,extraTxt 10,extraTxt 11,extraTxt 13
PHY,Physical Science in Contemporary Society,JPH441H1-S,"This course will discuss the complex, real-life, ethical, and philosophical issues behind how science gets done, including questions such as how we as scientists strive to determine the truth; who determines what science is done, and on what basis; how we as a community manage science and make decisions about education, authorship, publication, hiring, et cetera (including issues related to equity, inclusivity, and diversity); and how we as a society fund science and apply its discoveries.","PHY224H1/PHY250H1/PHY252H1/PHY254H1/PHY256H1, or by permission of the instructor.",Prerequisite:,Humanities,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,LEC5101,Tuesday,—,17:00,19:00,,,,,MP 134,https://map.utoronto.ca/?id=1809#!m/494490,,,,,"Sealfon, C.",,of  available,36,92,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,
PSL,Neuroscience: Cellular and Molecular,PSL445H1-F,Overview of the fundamentals of cellular and molecular aspects of brain function. Course material is updated yearly to reflect the rapid evolution of ideas in Neuroscience.,"PSL300H1, PSL301H1, CJH332H1 or permission of instructor",Prerequisite:,PSL444Y1,Exclusion:,Science,Distribution Requirement:,LEC0101,Tuesday,—,16:30,19:30,,,,,MS 4279,https://map.utoronto.ca/?id=1809#!m/494491,,,,,"Collingridge, G.","Eubanks, J.",of  available,13,40,Yes: 0 student,In Person,Department Approval Required (AE),Enrolment Controls:,"This course requires approval from the department. The groups of students listed below can request enrolment for this course on ACORN until July 28. Once requested, the course will appear on ACORN with an Interim (INT) status until the sponsoring department has had an opportunity to review students' requests. Check ACORN after July 28 to see if your enrolment in the course has been Approved (APP) or Refused (REF). Beginning July 30 enrolment can no longer be requested on ACORN, and must instead be done by contacting the sponsoring department. The following list of students can request enrolment for this course on ACORN until July 28:",,,,,,,,,,,,,,,,,,,,,,,,,,,Living Things and Their Environment (4),Room,Timetable instructions,Note:,This course may be added on your ACORN account during your enrolment start date. The interim status (INT) will be updated to approved (APP) or refused (REF) in August. If you require additional information please contact Eva Eng at .,Breadth Requirement:
PSL,Neural Disorders,PSL446H1-S,Explore topics in neurological disorders and treatments to reinforce and expand your knowledge of cellular and molecular neurophysiology. Course material is updated yearly to reflect the rapid evolution of ideas in this area.,"PSL300H1, PSL301H1, CJH332H1 or permission of instructor",Prerequisite:,PSL444Y1,Exclusion:,Science,Distribution Requirement:,LEC0101,Tuesday,—,16:30,19:30,,,,,MS 4279,https://map.utoronto.ca/?id=1809#!m/494491,,,,,"Kadis, D.",,of  available,0,40,Yes: 13 students,In Person,Department Approval Required (AE),Enrolment Controls:,"This course requires approval from the department. The groups of students listed below can request enrolment for this course on ACORN until July 28. Once requested, the course will appear on ACORN with an Interim (INT) status until the sponsoring department has had an opportunity to review students' requests. Check ACORN after July 28 to see if your enrolment in the course has been Approved (APP) or Refused (REF). Beginning July 30 enrolment can no longer be requested on ACORN, and must instead be done by contacting the sponsoring department. The following list of students can request enrolment for this course on ACORN until July 28:",,,,,,,,,,,,,,,,,,,,,,,,,,,Living Things and Their Environment (4),Room,Timetable instructions,Note:,This course may be added on your ACORN account during your enrolment start date. The interim status (INT) will be updated to approved (APP) or refused (REF) in August. If you require additional information please contact Eva Eng at .,Breadth Requirement:
PHL,Seminar in Philosophical Logic,PHL447H1-F,Advanced discussion of some topic in philosophical logic.,PHL245H1/MAT157Y1; one of PHL246H1/PHL345H1/PHL347H1/PHL445H1/MAT309H1; 4.0 credits in philosophy,Prerequisite:,Humanities,Distribution Requirement:,"Thought, Belief and Behaviour (2)",Breadth Requirement:,LEC5101,Monday,—,19:30,21:00,Thursday,—,19:30,21:00,HS 614,https://map.utoronto.ca/?id=1809#!m/494459,,,,,"Huber, F.",,of  available,16,20,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 4 PHILOSOPHY  Department of Philosophy  Specialist (Faculty of Arts and Science),Year 4 PHILOSOPHY  Department of Philosophy  Major (Faculty of Arts and Science),Year 3 PHILOSOPHY  Department of Philosophy  Specialist (Faculty of Arts and Science),"Year 4 PHILOSOPHY  Department of Philosophy  Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)","Year 4 PHILOSOPHY  Department of Philosophy  Major (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,,,,,,,,,,,,https://map.utoronto.ca/?id=1809#!m/494459,HS 614,,,,Room,,,,
PHY,Relativistic Electrodynamics,PHY450H1-S,"An introduction to relativistic electrodynamics. Topics include: special relativity, four-vectors and tensors, relativistic dynamics from the Principle of Stationary Action and Maxwell's equations in Lorentz covariant form. Noether's theorem for fields and the energy-momentum tensor. Fields of moving charges and electromagnetic radiation: retarded potential, Lienard-Wiechert potentials, multipole expansion, radiation reaction.",PHY350H1,Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Wednesday,—,12:00,13:00,Friday,—,12:00,13:00,MP 134,https://map.utoronto.ca/?id=1809#!m/494490,MP 134,https://map.utoronto.ca/?id=1809#!m/494490,,,"James, D.","James, D.",of  available,0,72,Yes: 7 students,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Tuesday,—,12:00,13:00,of  available,20,87,No,In Person,,https://map.utoronto.ca/?id=1809#!m/494490,MP 134,—,,,Room,,,,
PSL,Mechanisms of Neural and Endocrinal Secretion,PSL450H1-F,"Exocytosis and other aspects of secretion mainly in neurons and neuroendocrine cells, but also in pancreatic cells. Topics include synapse anatomy and physiology, synaptic plasma membrane and vesicle proteins, membrane fusion, genetic tools, endocrine secretion, plasticity in neurotransmitter release, diseases arising from secretion defects.","BCH210H1, PSL300H1/(BIO240H1, BIO241H1); PSL350H1/CSB349H1/BCH311H1/MGY311Y1",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,LEC0101,Thursday,—,10:00,12:00,,,,,MS 2173,https://map.utoronto.ca/?id=1809#!m/494491,,,,,"Belsham, D.","Feng, Z.",of  available,27,48,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,,,,
PHL,Seminar in Philosophy of Language,PHL451H1-F,Advanced study of some topic in the philosophy of language.,"4.0 PHL credits, including (PHL245H1/MAT157Y1); (PHL232H1/PHL233H1/PHL240H1)",Prerequisite:,Humanities,Distribution Requirement:,,,LEC0101,Wednesday,—,12:00,15:00,,,,,UC 257,https://map.utoronto.ca/?id=1809#!m/494517,,,,,"Dickie, I.",,of  available,10,20,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 4 PHILOSOPHY  Department of Philosophy  Specialist (Faculty of Arts and Science),Year 4 PHILOSOPHY  Department of Philosophy  Major (Faculty of Arts and Science),Year 3 PHILOSOPHY  Department of Philosophy  Specialist (Faculty of Arts and Science),"Year 4 PHILOSOPHY  Department of Philosophy  Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)","Year 4 PHILOSOPHY  Department of Philosophy  Major (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,,,,,,,,,,,,,,,,,Room,,,,
PHY,Statistical Mechanics,PHY452H1-S,"Classical and quantum statistical mechanics of noninteracting systems; the statistical basis of thermodynamics; ensembles, partition function; thermodynamic equilibrium; stability and fluctuations; formulation of quantum statistics; theory of simple gases; ideal Bose and Fermi systems.","PHY252H1, PHY356H1",Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Tuesday,—,15:00,17:00,Tuesday,—,15:00,17:00,MP 134,https://map.utoronto.ca/?id=1809#!m/494490,MP 134,https://map.utoronto.ca/?id=1809#!m/494490,,,"Zilman, A.","Zilman, A.",of  available,30,69,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Thursday,—,15:00,16:00,of  available,44,84,No,In Person,,https://map.utoronto.ca/?id=1809#!m/494490,MP 134,,,,Room,Timetable instructions,Note:,Students who are in 3rd year who wish to take both PHY452H1S and PHY324H1S are advised to enrol in PHY324H1S LEC0101.,
PSL,Membrane Physiology,PSL452H1-F,"Biophysics and molecular biology of ion channels. Topics include equivalent circuits for cells, molecular structure of voltage-gated channels, distribution of channels, relationship between single-channel and whole-cell recording, and regulation of channel function by voltage, phosphorylation, G-proteins and metabolites.","PSL300H1, PSL301H1",Prerequisite:,Science,Distribution Requirement:,Living Things and Their Environment (4),Breadth Requirement:,LEC0101,Wednesday,—,15:00,17:00,,,,,MS 4279,https://map.utoronto.ca/?id=1809#!m/494491,,,,,"Feng, Z.","Sun, H.",of  available,14,50,Yes: 0 student,In Person,Department Approval Required (AE),Enrolment Controls:,"This course requires approval from the department. The groups of students listed below can request enrolment for this course on ACORN until July 28. Once requested, the course will appear on ACORN with an Interim (INT) status until the sponsoring department has had an opportunity to review students' requests. Check ACORN after July 28 to see if your enrolment in the course has been Approved (APP) or Refused (REF). Beginning July 30 enrolment can no longer be requested on ACORN, and must instead be done by contacting the sponsoring department. The following list of students can request enrolment for this course on ACORN until July 28:",,,,,,,,,,,,,,,,,,,,,,,,,,,,Room,Timetable instructions,Note:,This course may be added on your ACORN account during your enrolment start date. The interim status (INT) will be updated to approved (APP) or refused (REF) in August. If you require additional information please contact Eva Eng at .,
PHY,Continuum Mechanics,PHY454H1-S,"The theory of continuous matter, including solid and fluid mechanics.Topics include the continuum approximation, dimensional analysis, stress, strain, the Euler and Navier-Stokes equations, vorticity, waves, instabilities, convection and turbulence.","PHY254H1, MAT235Y1/MAT237Y1/MAT257Y1, APM346H1/APM351Y1",Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Monday,—,11:00,12:00,Wednesday,—,11:00,12:00,MP 134,https://map.utoronto.ca/?id=1809#!m/494490,MP 134,https://map.utoronto.ca/?id=1809#!m/494490,,,"Jones, D.","Jones, D.",of  available,29,80,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Thursday,—,11:00,12:00,of  available,39,90,No,In Person,,https://map.utoronto.ca/?id=1809#!m/494490,MP 134,—,,,Room,,,,
PHL,Seminar in Philosophy of Science,PHL455H1-S,Advanced study of some area or problem in the philosophy of science.,"One of PHL355H1, PHL357H1 or HPS250H1, 4.0 credits in philosophy",Prerequisite:,Humanities,Distribution Requirement:,,,LEC0101,Tuesday,—,12:00,15:00,,,,,UC B203,https://map.utoronto.ca/?id=1809#!m/494517,,,,,"Walsh, D.",,of  available,9,20,Yes: 0 student,In Person,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",Year 4 PHILOSOPHY  Department of Philosophy  Specialist (Faculty of Arts and Science),Year 4 PHILOSOPHY  Department of Philosophy  Major (Faculty of Arts and Science),Year 3 PHILOSOPHY  Department of Philosophy  Specialist (Faculty of Arts and Science),"Year 4 PHILOSOPHY  Department of Philosophy  Specialist (John H. Daniels Faculty of Architecture, Landscape, & Design)","Year 4 PHILOSOPHY  Department of Philosophy  Major (John H. Daniels Faculty of Architecture, Landscape, & Design)",,,,,,,,,,,,,,,,,,,,,,,Room,,,,
PHY,Quantum Mechanics II,PHY456H1-F,Quantum dynamics in Heisenberg and Schrdinger pictures; WKB approximation; variational method; time-independent perturbation theory; spin; addition of angular momentum; time-dependent perturbation theory; scattering.,PHY356H1,Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Monday,—,13:00,14:00,Wednesday,—,13:00,14:00,MP 134,https://map.utoronto.ca/?id=1809#!m/494490,LA 341,https://map.utoronto.ca/?id=1809#!m/494544,MP 118,MP 118,"Sipe, J.","Sipe, J.",of  available,22,75,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Tuesday,—,13:00,14:00,of  available,7,23,No,In Person,Activity,https://map.utoronto.ca/?id=1809#!m/494490,MP 134,—,,,Room,,,,
PHY,Nonlinear Physics,PHY460H1-F,"The theory of nonlinear dynamical systems with applications to many areas of physics. Topics include stability, bifurcations, chaos, universality, maps, strange attractors and fractals. Geometric, analytical and computational methods will be developed.",PHY354H1,Prerequisite:,Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,LEC0101,Wednesday,—,12:00,13:00,Friday,—,12:00,13:00,MP 134,https://map.utoronto.ca/?id=1809#!m/494490,MP 134,https://map.utoronto.ca/?id=1809#!m/494490,,,"Marjoribanks, R.","Marjoribanks, R.",of  available,37,75,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,(Faculty of Applied Science & Engineering),,,,,Activity,Time,Instructor(s),Space Availability,Wait List,Status / Notes,TUT0101,Friday,—,14:00,15:00,of  available,47,88,No,In Person,,https://map.utoronto.ca/?id=1809#!m/494490,MP 134,—,,,Room,,,,
