resultDept,pbot15,hiCC,extraTxt 2,extraTxt 3,extraTxt 4,extraTxt 5,extraTxt 6,extraTxt 7,extraTxt 8,headerSect 3,colCode,weekDay,dayInfo,dayInfo 2,dayInfo 3,weekDay 2,dayInfo 4,dayInfo 5,dayInfo 6,weekDay 3,weekDay href,weekDay 4,weekDay href 2,colInst,colAvail,numCurr,numTot,numWait,onlineMeeting,weekDay 5,legendControl 2,legendControl 3,enConDesc,enConList,enConList 2,headerSect 8,headerSect 9,headerSect 10,headerSect 11,headerSect 12,headerSect 13,headerSect 14,colCode 2,colInst 2,colAvail 2,numCurr 2,numTot 2,numWait 2,onlineMeeting 2,legendControl 4,legendControl 5,enConDesc 2,headerSect 15,headerSect 16,headerSect 17,headerSect 18,headerSect 19,headerSect 20,headerSect 21,colCode 3,weekDay 6,dayInfo 7,dayInfo 8,dayInfo 9,colInst 3,colAvail 3,numCurr 3,numTot 3,numWait 3,onlineMeeting 3,legendControl 6,legendControl 7,enConDesc 3,enConList 3,extraTxt 12,weekDay 7,weekDay href 3,extraTxt 13,alignC,enConList 4
SLA,Russian and East European Science Fiction,SLA286H1-F,"Science fiction from Russia and Eastern Europe combines radical aesthetics, thought experiments, and engagement with socio-political conditions, censorship, and technological innovation. This course will study Russian and East European science fiction's cultural, historical, and political contexts, examining how the genre comments upon the texts’ present historical moment and imagines new possibilities.",None,Prerequisite:,SLA486H1,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Thursday,—,12:00,14:00,,,,,TF 200,https://map.utoronto.ca/?id=1809#!m/494581,,,"Mandusic, Z.",of  available,16,30,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creative and Cultural Representations (1),,,Breadth Requirement:,,
SLA,Literature and History in Russia,JSH300H1-S,"History and Literature were always interconnected in Russia. Writers not only sought to reflect the society around them, but were themselves often social critics and political figures. The course examines key texts in Russian literary tradition both as works of art and as primary sources for the historian. All readings in English.",HIS250H1/HIS250Y1 or SLA240H1/SLA241H1,Recommended Preparation:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Monday,—,16:00,18:00,,,,,AH 302,https://map.utoronto.ca/?id=1809#!m/494578,,,,of  available,11,30,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,
SLA,Russian Literature in the Age of Empire,SLA300H1-F,"Survey of major movements and institutions, familiar and less studied writers and intellectuals of the first half of the nineteenth century. Imperial culture between and within Europe and Asia. Romanticism as literary movement, cultural ideology, and lifestyle. Emergence of literature as profession and public sphere. Literature and nationalism. Taught in English, all readings in English.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Thursday,—,14:00,16:00,,,,,TF 103,https://map.utoronto.ca/?id=1809#!m/494581,,,"Koznarsky, T.",of  available,3,20,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Independent Study,MGT303Y1-Y,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to students not in a Rotman Commerce program. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",Prerequisite:,,,,,,LEC0101,3.0 hours / week,,,,,,,,,,,,"Lee, S.",of  available,0,1,No,Asynchronous,—,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,,,,,,,,,,,,,,,,,,,
COMPG,Independent Study,RSM303Y1-Y,Open when a faculty member is willing and able to supervise. Students must obtain the approval of the Director of Rotman Commerce and the supervising faculty member before enrolling. Enrolment is restricted to Rotman Commerce students. Consult the Rotman Commerce Office for details. Not eligible for CR/NCR option.,"9.0 credits, Cumulative GPA of at least 2.70",Prerequisite:,,,,,,LEC0101,3.0 hours / week,,,,,,,,,,,,,of  available,1,1,No,Asynchronous,—,Enrol at Department (E),Enrolment Controls:,Enrolment via ACORN is not available. Students must request permission to enrol in this course by contacting the sponsoring department. Please see Timetable Instructions tab for contact information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,,,,,,,,,,,,,,,,,,—,
SLA,Conversations-Inspirations: Everyday Polish,SLA306H1-F,"Through a series of thematic modules based on everyday communicative situations in contemporary Poland students develop Polish language skills in the four linguistic competencies: listening, reading, writing, and speaking. The course is based on a communicative-functional approach to language. It means that even though students are regularly exposed to new grammatical structures, their work focuses primarily on practical, diverse uses of language in real-life situations.",SLA206Y1 or SLA207H1 or permission of instructor,Prerequisite:,Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,Room,LEC0101,Tuesday,—,15:00,17:00,,,,,CR 107,https://map.utoronto.ca/?id=1809#!m/494580,,,"Jezyk, A.",of  available,22,25,Yes: 0 student,In Person (See Delivery Instructions.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Advanced Ukrainian,SLA308Y1-Y,"Development of advanced speaking, reading, listening and writing skills on a wide variety of topics. Work on grammar and vocabulary building. Review of morphology and study of syntax. Short compositions. Expressing a written formal argument or opinion.",SLA208Y1 or permission of instructor,Prerequisite:,Fluent native speakers of Ukrainian,Exclusion:,Humanities,Distribution Requirement:,,LEC0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creative and Cultural Representations (1),,,Breadth Requirement:,—,
SLA,Russian Literature Between Tradition and Modernity,SLA310H1-S,"Survey of major movements and institutions, genres, familiar and less studied writers and intellectuals of the second half of the nineteenth century. Imperial culture in the reform era. Realism as literary movement, professionalization of literature and criticism, the novel and serialization, the short story and drama. Taught in English, all readings in English.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Tuesday,—,13:00,15:00,,,,,TF 202,https://map.utoronto.ca/?id=1809#!m/494581,,,"Holland, K.",of  available,31,40,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Special Topics in Management,RSM311H1-F,"""",Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website () for a full course description.,Prerequisite:,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,Distribution Requirement:,Social Science,"""",Room,LEC0101,Monday,—,16:00,18:00,,,,,RT 142,https://map.utoronto.ca/?id=1809#!m/494538,,,"Soberman, D.",of  available,36,50,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Rotman Commerce   (Faculty of Arts and Science),Year 4   Rotman Commerce   (Faculty of Arts and Science),Subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Special Topics in Management,RSM312H1-S,"""",Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website () for a full course description.,Prerequisite:,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,Distribution Requirement:,Social Science,"""",Room,LEC5101,Monday,—,18:00,20:00,,,,,,,,,,of  available,12,50,Yes: 0 student,In Person,Contact DEPT,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Rotman Commerce   (Faculty of Arts and Science),Year 4   Rotman Commerce   (Faculty of Arts and Science),Subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,
SLA,Dostoevsky,SLA314H1-F,"Crime and Punishment, The Brothers Karamazov, and short works. Dostoevsky's political, psychological, and religious ideas as they shape and are shaped by his literary art. Readings in English. Taught in English, all readings in English.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Tuesday,—,13:00,15:00,,,,,CR 403,https://map.utoronto.ca/?id=1809#!m/494580,,,"Holland, K.",of  available,16,50,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Special Topics in Management,RSM315H1-F,"""",Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website () for a full course description.,Prerequisite:,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,Distribution Requirement:,Social Science,"""",Room,LEC0101,Monday,—,09:00,11:00,,,,,RT 142,https://map.utoronto.ca/?id=1809#!m/494538,,,"Edwards, A.",of  available,35,50,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Rotman Commerce   (Faculty of Arts and Science),Year 4   Rotman Commerce   (Faculty of Arts and Science),Subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Special Topics in Management,RSM317H1-S,"""",Topics and Issues in Management. Content in any given year will depend on the instructor. See the Rotman Commerce website () for a full course description.,Prerequisite:,Completion of 9.0 credits. Further prerequisites may vary from year to year. Consult the course description on the Rotman Commerce website for details.,Distribution Requirement:,Social Science,"""",Room,LEC0101,Tuesday,—,13:00,15:00,,,,,WO 35,https://map.utoronto.ca/?id=1809#!m/494558,,,,of  available,46,50,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Year 3   Rotman Commerce   (Faculty of Arts and Science),Year 4   Rotman Commerce   (Faculty of Arts and Science),Subtitle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,
SLA,City of Saints and Sinners: Kyiv through the Centuries,SLA318H1-S,"Captivating and elusive: the ""new Jerusalem,"" Yehupets, a ""Slavic Pompeii"" and frontier city. This course examines Kyiv through works of literature, visual arts, architecture, and popular culture that reveal Ukrainian, Russian, Jewish, and Polish versions of the city. Gogol, Sholem Aleichem, Bulgakov, Vynnychenko, and many others. Taught in English, all readings in English.",Humanities,Distribution Requirement:,Creative and Cultural Representations (1),Breadth Requirement:,,,Room,LEC0101,Tuesday,—,14:00,16:00,,,,,VC 101,https://map.utoronto.ca/?id=1809#!m/494602,,,"Koznarsky, T.",of  available,29,36,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Intermediate Financial Accounting III,RSM320H1-F,"Covers broader areas in financial reporting, drawing upon regulatory documents and corporate communications. Topics include corporate reporting quality, employee future benefits, employee compensation disclosure and analysis, income tax accounting, narrative reporting. Emphasis on the context of financial reporting including an organization’s ‘tone at the top’ and the adoption of international standards. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM221H1,Prerequisite:,Social Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Tuesday,—,12:00,14:00,,,,,,,,,"Amernic, J.",of  available,0,62,Yes: 0 student,Online - Synchronous,—,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Intermediate Financial Accounting III,RSM320H1-S,"Covers broader areas in financial reporting, drawing upon regulatory documents and corporate communications. Topics include corporate reporting quality, employee future benefits, employee compensation disclosure and analysis, income tax accounting, narrative reporting. Emphasis on the context of financial reporting including an organization’s ‘tone at the top’ and the adoption of international standards. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM221H1,Prerequisite:,Social Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Tuesday,—,12:00,14:00,Wednesday,—,11:00,13:00,WO 25,https://map.utoronto.ca/?id=1809#!m/494558,UC 52,https://map.utoronto.ca/?id=1809#!m/494517,"Amernic, J.",of  available,2,50,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Tassone, R.",of  available,10,50,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Wednesday,—,12:00,14:00,"Amernic, J.",of  available,11,50,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,WO 25,https://map.utoronto.ca/?id=1809#!m/494558,,,
SLA,Advanced Russian,SLA320Y1-Y,"A survey of Russian culture and history of the 20th century through non-adapted readings and film. Development of advanced speaking, reading, listening and writing skills on a wide variety of topics. Work on grammar and vocabulary building. Subordinate and relative clauses, aspect, verbs of motion, participles and gerunds. Class is conducted primarily in Russian.",SLA220Y1 or permission of instructor,Prerequisite:,"native speakers of Russian, heritage speakers of Russian (unless permitted by the instructor); SLA210H1",Exclusion:,Humanities,Distribution Requirement:,,LEC0101,Tuesday,—,10:00,12:00,Thursday,—,10:00,12:00,AH 105,https://map.utoronto.ca/?id=1809#!m/494578,AH 105,https://map.utoronto.ca/?id=1809#!m/494578,"Mikhailova, J.",of  available,13,18,Yes: 0 student,In Person,AH 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Friday,—,10:00,11:00,,,,,,,,,,,Creative and Cultural Representations (1),AH 105,https://map.utoronto.ca/?id=1809#!m/494578,Breadth Requirement:,,
COMPG,Advanced Financial Accounting Topics,RSM321H1-F,"This course covers accounting issues and practices relating to long-term investments, consolidations, foreign transactions and foreign investments. International accounting issues are also introduced. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM320H1,Prerequisite:,Social Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Wednesday,—,14:00,16:00,Wednesday,—,16:00,18:00,WO 35,https://map.utoronto.ca/?id=1809#!m/494558,WO 35,https://map.utoronto.ca/?id=1809#!m/494558,"Richardson, G.",of  available,28,50,Yes: 0 student,In Person,—,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Richardson, G.",of  available,21,50,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Thursday,—,14:00,16:00,"McDonald, J.",of  available,0,58,Yes: 0 student,Online - Synchronous,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,,,,,
COMPG,Advanced Financial Accounting Topics,RSM321H1-S,"This course covers accounting issues and practices relating to long-term investments, consolidations, foreign transactions and foreign investments. International accounting issues are also introduced. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM320H1,Prerequisite:,Social Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Wednesday,—,10:00,12:00,Wednesday,—,14:00,16:00,WO 25,https://map.utoronto.ca/?id=1809#!m/494558,WO 35,https://map.utoronto.ca/?id=1809#!m/494558,"McDonald, J.",of  available,15,50,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Richardson, G.",of  available,15,50,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLA,Conversational Russian,SLA321H1-S,"Expansion of vocabulary and development of conversational skills. Discussion of a variety of topics (history, culture, art, politics, law, social and economic problems, contemporary events). Class is taught in round-table format.",SLA220Y1 and permission of instructor,Prerequisite:,native speakers of Russian and heritage speakers of Russian (unless permitted by the instructor).,Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Monday,—,12:00,14:00,,,,,AH 304,https://map.utoronto.ca/?id=1809#!m/494578,,,"Mikhailova, J.",of  available,16,25,Yes: 0 student,In Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creative and Cultural Representations (1),,,Breadth Requirement:,,
COMPG,Auditing I,RSM323H1-F,This course introduces students to the concepts and theory underlying audit practice. Practical examples are used to help students develop skills in exercising professional judgment. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,RSM221H1,Prerequisite:,Social Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Wednesday,—,11:00,13:00,Wednesday,—,14:00,16:00,WO 20,https://map.utoronto.ca/?id=1809#!m/494558,WO 25,https://map.utoronto.ca/?id=1809#!m/494558,"Smieliauskas, W.",of  available,3,50,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Smieliauskas, W.",of  available,22,50,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Auditing I,RSM323H1-S,This course introduces students to the concepts and theory underlying audit practice. Practical examples are used to help students develop skills in exercising professional judgment. Not eligible for CR/NCR option. Contact Rotman Commerce for details.,RSM221H1,Prerequisite:,Social Science,Distribution Requirement:,The Physical and Mathematical Universes (5),Breadth Requirement:,Room,LEC0101,Tuesday,—,14:00,16:00,Wednesday,—,12:00,14:00,WO 25,https://map.utoronto.ca/?id=1809#!m/494558,WO 35,https://map.utoronto.ca/?id=1809#!m/494558,"Smieliauskas, W.",of  available,0,52,Yes: 1 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Smieliauskas, W.",of  available,20,53,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Wednesday,—,16:00,18:00,"McDonald, J.",of  available,30,53,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,WO 35,https://map.utoronto.ca/?id=1809#!m/494558,,,
COMPG,Canadian Income Taxation I,RSM324H1-F,"This course emphasises the fundamentals of the Canadian tax system.  Included are topics, such as, residence of corporations and individuals, effective tax rates for corporations and individuals, business income, integration, capital gains and losses, to name a few.    A key objective of this course is to assist students in learning to read, interpret and apply provisions of the Income Tax Act to practical problems and cases. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM220H1,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,—,09:00,11:00,Tuesday,—,10:00,12:00,UC 144,https://map.utoronto.ca/?id=1809#!m/494517,UC 85,https://map.utoronto.ca/?id=1809#!m/494517,"Iqbal, A.",of  available,5,50,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Douglas, S.",of  available,0,50,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Tuesday,—,12:00,14:00,"Douglas, S.",of  available,0,50,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,UC 85,https://map.utoronto.ca/?id=1809#!m/494517,,,
COMPG,Canadian Income Taxation I,RSM324H1-S,"This course emphasises the fundamentals of the Canadian tax system.  Included are topics, such as, residence of corporations and individuals, effective tax rates for corporations and individuals, business income, integration, capital gains and losses, to name a few.    A key objective of this course is to assist students in learning to read, interpret and apply provisions of the Income Tax Act to practical problems and cases. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM220H1,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC5101,Wednesday,—,19:00,21:00,,,,,WO 25,https://map.utoronto.ca/?id=1809#!m/494558,,,"Roman, M.",of  available,28,50,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDST,Queerly Canadian,JSU325H1-S,"This course focuses on Canadian literary and artistic productions that challenge prevailing notions of nationality and sexuality, exploring not only how artists struggle with that ongoing Canadian thematic of being and belonging, but also celebrate pleasure and desire as a way of imagining and articulating an alternative national politics.",SDS255H1/SDS256H1/CDN267H1 (formerly UNI267H1)/CDN268H1 (formerly UNI268H1) or permission of the instructor,Prerequisite:,"SDS375H1 Special Topics: Queerly Canadian, UNI325H1",Exclusion:,Humanities,Distribution Requirement:,Room,LEC0101,Tuesday,—,14:00,17:00,,,,,RW 142,https://map.utoronto.ca/?id=1809#!m/494515,,,"Rayter, S.",of  available,41,45,Yes: 0 student,In Person,,Priority (P),Enrolment Controls:,"Priority enrolment is given to the groups of students listed below until July 28. There is no course enrolment on July 29. Beginning July 30, all other Arts & Science students can enrol in this section. UTM/UTSC students can enrol in this section starting August 6. The following groups of students are given priority access until July 28:",ASMAJ0728 MA CANADIAN STUDIES,ASMAJ1240 MA SEXUAL DIVERSITY STUDIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASMIN0728 MI CANADIAN STUDIES,Creative and Cultural Representations (1),,,Breadth Requirement:,,ASMIN1240 MI SEXUAL DIVERSITY STUDIES
COMPG,Legal Environment of Business II,RSM325H1-S,"This course canvasses several areas of law that impact a business entity. Topics dealt with include agency law, employment law, the Personal Property Security Act and the rights of the secured creditor, bankruptcy law, relevant consumer protection legislation, intellectual property and other specific legal topics. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",RSM225H1,Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC5101,Thursday,—,18:30,20:30,,,,,WO 25,https://map.utoronto.ca/?id=1809#!m/494558,,,,of  available,0,40,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,—,
COMPG,Data Analytics with Financial Accounting Information,RSM326H1-F,Students will learn how to better understand and analyze accounting information through empirical analysis. The course will teach students how to extract information from rich accounting and finance datasets to help provide insights in a wide range of corporate business problems in both equity and debt markets. Different modeling approaches are used to analyze accounting data and disclosure information. Not eligible for CR/NCR.,"RSM219H1, ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",Prerequisite:,RSM311H1 (Special Topics in Management: Analytical Insights using Financial Data); offered in Fall 2019,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Wednesday,—,09:00,11:00,Wednesday,—,11:00,13:00,RT 142,https://map.utoronto.ca/?id=1809#!m/494538,RT 142,https://map.utoronto.ca/?id=1809#!m/494538,"Wahid, A.",of  available,0,47,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,"Wahid, A.",of  available,0,47,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Wednesday,—,15:00,17:00,"Wahid, A.",of  available,2,47,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Society and its Institutions (3),RT 142,https://map.utoronto.ca/?id=1809#!m/494538,Breadth Requirement:,,
COMPG,Data Analytics with Financial Accounting Information,RSM326H1-S,Students will learn how to better understand and analyze accounting information through empirical analysis. The course will teach students how to extract information from rich accounting and finance datasets to help provide insights in a wide range of corporate business problems in both equity and debt markets. Different modeling approaches are used to analyze accounting data and disclosure information. Not eligible for CR/NCR.,"RSM219H1, ECO220Y1/ECO227Y1/(STA220H1, STA255H1)/(STA237H1, STA238H1)/(STA257H1, STA261H1)",Prerequisite:,RSM311H1 (Special Topics in Management: Analytical Insights using Financial Data); offered in Fall 2019,Exclusion:,Social Science,Distribution Requirement:,Room,LEC0101,Monday,—,09:00,11:00,Wednesday,—,09:00,11:00,BL 114,https://map.utoronto.ca/?id=1809#!m/494536,RT 142,https://map.utoronto.ca/?id=1809#!m/494538,,of  available,16,40,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Rotman Commerce   (Faculty of Arts and Science),Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0201,,of  available,11,40,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Activity,Time,Room,Instructor(s),Space Availability,Wait List,Status / Notes,LEC0301,Wednesday,—,11:00,13:00,,of  available,6,40,Yes: 0 student,In Person,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),Society and its Institutions (3),RT 142,https://map.utoronto.ca/?id=1809#!m/494538,Breadth Requirement:,—,
COMPG,Business Information Systems,RSM327H1-S,"This course helps students use, develop, and manage computer-based systems. The first half covers the basic features of hardware, software, communications, and databases. The second half examines how users, businesses, the economy, and society are affected by the development of this technology. No previous background in computing is assumed. Not eligible for CR/NCR option. Contact Rotman Commerce for details.",CSC340H1,Exclusion:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC5101,Tuesday,—,17:00,19:00,,,,,OI 4422,https://map.utoronto.ca/?id=1809#!m/494563,,,"Kwan, A.",of  available,3,40,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMPG,Financial Distress and Insolvency,RSM328H1-S,"This course explores the reasons for financial distress and introduces options for managers, creditors, lenders, and directors of firms in financial distress. The use of financial ratios to predict solvency problems is covered as well as strategies both for restructuring companies having financial difficulties and for negotiation with creditors. Not eligible for CR/NCR option. Contact Rotman Commerce for details.","RSM219H1, RSM222H1",Prerequisite:,Social Science,Distribution Requirement:,Society and its Institutions (3),Breadth Requirement:,Room,LEC0101,Tuesday,—,13:00,15:00,,,,,WO 20,https://map.utoronto.ca/?id=1809#!m/494558,,,"Vyas, D.",of  available,21,50,Yes: 0 student,In Person,,Restricted (R1),Enrolment Controls:,This section is restricted at all times to the following students:,Rotman Commerce   (Faculty of Arts and Science),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
